"id","curso","aula","link1","link2","tempo"
3837,"NPS - A PERGUNTA DEFINITIVA","Como agir com base nos resultados do NPS","https://b-vz-05e06853-571.tv.pandavideo.com.br/e0b82d59-9066-40bf-a26c-1ee2c6764b64/playlist.m3u8",NULL,"00:02:16"
2951,"NPS - A PERGUNTA DEFINITIVA","COMO ENVIAR","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=c1950c6d-5543-4f2f-8f11-9899c9fd698f",NULL,"00:08:32"
2952,"NPS - A PERGUNTA DEFINITIVA","FERRAMENTAS DE ENVIO","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=c5fe40ce-47b5-4e75-a8b0-38ff6a7712a6",NULL,"00:23:58"
2953,"NPS - A PERGUNTA DEFINITIVA","PROMOTORES NEUTROS E DETRATORES","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=3fa40c02-9cd8-4dda-b55b-60e77c7cbf21",NULL,"00:02:45"
2954,"NPS - A PERGUNTA DEFINITIVA","O QUE FAZER COM CLIENTES PROMOTORES","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=c837e024-b847-464c-bccc-952473a41f11",NULL,"00:05:39"
2955,"NPS - A PERGUNTA DEFINITIVA","O QUE FAZER COM CLIENTES NEUTROS","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=cd920e2f-99e7-44b9-8163-64da93763ff6",NULL,"00:05:25"
2956,"NPS - A PERGUNTA DEFINITIVA","O QUE FAZER COM CLIENTES DETRATORES","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=c509c685-2727-4fd0-8516-dcf357046232",NULL,"00:11:24"
2957,"NPS - A PERGUNTA DEFINITIVA","O QUE FAZER COM CLIENTES QUE N RESPONDEM","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=2c0f36ab-97c4-47ae-aaf9-0c10510ec4c6",NULL,"00:09:01"
2958,"NPS - A PERGUNTA DEFINITIVA","ESTRATEGIAS PARA AUMENTAR A TAXA DE RESPOSTA","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=1c0be3b1-ab5b-44d5-bd19-443cacceef5d",NULL,"00:08:35"
2959,"NPS - A PERGUNTA DEFINITIVA","INOVANDO PRODUTOS E PROCESSOS UTILIZANDO O NPS","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=95791135-1d91-4e72-aaaf-84c5b89727ec",NULL,"00:08:03"
2960,"NPS - A PERGUNTA DEFINITIVA","FECHAMENTO DE LOOP","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=ac0019f5-3e51-482a-96f9-c56ce1b382c3",NULL,"00:07:04"
2945,"NPS - A PERGUNTA DEFINITIVA","INTRODUÇÃO","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=e9351f22-d73d-441d-8489-438b7dd7e514",NULL,"00:06:23"
2949,"NPS - A PERGUNTA DEFINITIVA","Qual a frequência para o NPS?","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=5f77e904-8845-43d7-ae26-671790fbc765",NULL,"00:04:47"
2946,"NPS - A PERGUNTA DEFINITIVA","POR QUE NPS?","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=dddf5365-7963-4949-9efe-aae85dce84ee",NULL,"00:06:04"
2947,"NPS - A PERGUNTA DEFINITIVA","LUCROS RUINS EM UM PROVEDOR","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=4fd6368d-58b5-431e-9557-9156cfd5bb58",NULL,"00:06:22"
3365,"O metodo 3ops para Projetos FTTx","Aula 02: Projetos em Prédios (FTTA)","https://b-vz-05e06853-571.tv.pandavideo.com.br/963b575c-547d-4202-9562-f42fc235b462/playlist.m3u8","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=963b575c-547d-4202-9562-f42fc235b462","01:00:08"
3368,"O metodo 3ops para Projetos FTTx","Aula 05: Projetos CFTV (FTTx)","https://b-vz-05e06853-571.tv.pandavideo.com.br/b40998fc-aeae-4096-a90e-bc57d4b103fd/playlist.m3u8","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=b40998fc-aeae-4096-a90e-bc57d4b103fd","00:35:22"
3366,"O metodo 3ops para Projetos FTTx","Aula 03: Projetos em Condomínios (FTTx)","https://b-vz-05e06853-571.tv.pandavideo.com.br/50558230-80c0-4ef8-a6d1-f22831a91ac3/playlist.m3u8","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=50558230-80c0-4ef8-a6d1-f22831a91ac3","00:38:14"
3367,"O metodo 3ops para Projetos FTTx","Aula 04: Projetos em Empresas (POL)","https://b-vz-05e06853-571.tv.pandavideo.com.br/7934e163-0f30-4c27-bdab-00a0bae427cd/playlist.m3u8","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=7934e163-0f30-4c27-bdab-00a0bae427cd","00:41:33"
3364,"O metodo 3ops para Projetos FTTx","Aula 01: Como desenvolver outros projetos","https://b-vz-05e06853-571.tv.pandavideo.com.br/3c6b069b-1bde-4858-b608-1e20644f020e/playlist.m3u8","https://player-vz-05e06853-571.tv.pandavideo.com.br/embed/?v=3c6b069b-1bde-4858-b608-1e20644f020e","00:05:50"
3562,"PRÁTICA COM DATACOM","ONU GPON Router com Wi-fi","https://b-vz-05e06853-571.tv.pandavideo.com.br/63774883-ecea-45ef-a12e-ada7c2c5a4db/playlist.m3u8",NULL,"00:45:09"
3566,"PRÁTICA COM DATACOM","Plataforma de Gerência","https://b-vz-05e06853-571.tv.pandavideo.com.br/9cb51de3-03c6-4352-9510-713101ac2dfc/playlist.m3u8",NULL,"00:24:19"
3560,"PRÁTICA COM DATACOM","Ligando a OLT na rede","https://b-vz-05e06853-571.tv.pandavideo.com.br/80eb8819-14cd-4999-ae23-a0062343a5e6/playlist.m3u8",NULL,"00:45:09"
3559,"PRÁTICA COM DATACOM","Portifólio de produtos GPON","https://b-vz-05e06853-571.tv.pandavideo.com.br/d5289ec6-5755-477c-beb6-eed103872dfe/playlist.m3u8",NULL,"00:35:38"
3558,"PRÁTICA COM DATACOM","Quem é a Datacom?","https://b-vz-05e06853-571.tv.pandavideo.com.br/96ab6b89-6b00-4324-b5ee-e6ee8d51048d/playlist.m3u8",NULL,"00:03:08"
3561,"PRÁTICA COM DATACOM","ONU GPON Bridge + Roteador Wi-Fi","https://b-vz-05e06853-571.tv.pandavideo.com.br/48656d0e-bc54-4731-8612-1dd35d815030/playlist.m3u8",NULL,"00:19:05"
3565,"PRÁTICA COM DATACOM","Alarmes","https://b-vz-05e06853-571.tv.pandavideo.com.br/6705de12-c547-4b7c-8c37-f06a3cf8cb04/playlist.m3u8",NULL,"00:07:13"
3564,"PRÁTICA COM DATACOM","SNMP e LOG","https://b-vz-05e06853-571.tv.pandavideo.com.br/c58df748-d443-4857-bbb3-1a499262a8b9/playlist.m3u8",NULL,"00:17:36"
3563,"PRÁTICA COM DATACOM","LAN TO LAN","https://b-vz-05e06853-571.tv.pandavideo.com.br/1c2fe958-dd4b-471c-ad13-70adb8ba36d9/playlist.m3u8",NULL,"00:19:25"
