"vitrine_id","vitrine_nome","vitrine_criado_em","vitrine_removido_em","produto_id_relacionado","produto_nome","prouto_criado_em","produto_removido_em","produto_meta","aulas_id","aula_nome","aula_link","aula_criado_em","aula_meta","aula_removido_em"
481,"DESCONTINUADO: TÉCNICO EM FUSÃO E CERTIFICAÇÃO - Formação para Construtores de Redes de Fibra","2021-11-26 17:27:08",NULL,"1463","Fibra Óptica de A a Z","2021-05-04 11:32:38",NULL,"{""vitrine_listagem"":""instancia_74\/image\/Flaa7u0r3i3n0ylIoWJxshfAIHAsz5IPzhdnpkKF.png"",""exibe_progresso"":""1"",""certificado_ic_ativo"":""0"",""certificado_verso_ativo"":""1"",""desativar_visto"":""0"",""ocultar_visto"":""1""}","15776","Ferragens","https://b-vz-05e06853-571.tv.pandavideo.com.br/54f3e008-9620-40df-8e5d-bda23768e9ba/playlist.m3u8","2021-05-04 13:51:26",NULL,NULL
481,"DESCONTINUADO: TÉCNICO EM FUSÃO E CERTIFICAÇÃO - Formação para Construtores de Redes de Fibra","2021-11-26 17:27:08",NULL,"1463","Fibra Óptica de A a Z","2021-05-04 11:32:38",NULL,"{""vitrine_listagem"":""instancia_74\/image\/Flaa7u0r3i3n0ylIoWJxshfAIHAsz5IPzhdnpkKF.png"",""exibe_progresso"":""1"",""certificado_ic_ativo"":""0"",""certificado_verso_ativo"":""1"",""desativar_visto"":""0"",""ocultar_visto"":""1""}","15777","Ferramentas","https://b-vz-05e06853-571.tv.pandavideo.com.br/30492a8e-61c2-4230-a699-f6d5658a5d4f/playlist.m3u8","2021-05-04 13:51:33",NULL,NULL
481,"DESCONTINUADO: TÉCNICO EM FUSÃO E CERTIFICAÇÃO - Formação para Construtores de Redes de Fibra","2021-11-26 17:27:08",NULL,"1463","Fibra Óptica de A a Z","2021-05-04 11:32:38",NULL,"{""vitrine_listagem"":""instancia_74\/image\/Flaa7u0r3i3n0ylIoWJxshfAIHAsz5IPzhdnpkKF.png"",""exibe_progresso"":""1"",""certificado_ic_ativo"":""0"",""certificado_verso_ativo"":""1"",""desativar_visto"":""0"",""ocultar_visto"":""1""}","15778","O que é um projeto de rede","https://b-vz-05e06853-571.tv.pandavideo.com.br/7f9da212-f405-4be6-ac4f-7397f1a550f4/playlist.m3u8","2021-05-04 13:53:00",NULL,NULL
481,"DESCONTINUADO: TÉCNICO EM FUSÃO E CERTIFICAÇÃO - Formação para Construtores de Redes de Fibra","2021-11-26 17:27:08",NULL,"1463","Fibra Óptica de A a Z","2021-05-04 11:32:38",NULL,"{""vitrine_listagem"":""instancia_74\/image\/Flaa7u0r3i3n0ylIoWJxshfAIHAsz5IPzhdnpkKF.png"",""exibe_progresso"":""1"",""certificado_ic_ativo"":""0"",""certificado_verso_ativo"":""1"",""desativar_visto"":""0"",""ocultar_visto"":""1""}","15779","Leitura de projetos","https://b-vz-05e06853-571.tv.pandavideo.com.br/39f2c30e-bea8-4446-bebf-1733a5d00f72/playlist.m3u8","2021-05-04 13:53:11",NULL,NULL
481,"DESCONTINUADO: TÉCNICO EM FUSÃO E CERTIFICAÇÃO - Formação para Construtores de Redes de Fibra","2021-11-26 17:27:08",NULL,"1463","Fibra Óptica de A a Z","2021-05-04 11:32:38",NULL,"{""vitrine_listagem"":""instancia_74\/image\/Flaa7u0r3i3n0ylIoWJxshfAIHAsz5IPzhdnpkKF.png"",""exibe_progresso"":""1"",""certificado_ic_ativo"":""0"",""certificado_verso_ativo"":""1"",""desativar_visto"":""0"",""ocultar_visto"":""1""}","15780","Diagrama de emendas / unifilar","https://b-vz-05e06853-571.tv.pandavideo.com.br/3c4116bc-bb37-423a-b1bf-d0d736f4c989/playlist.m3u8","2021-05-04 14:04:16",NULL,NULL
481,"DESCONTINUADO: TÉCNICO EM FUSÃO E CERTIFICAÇÃO - Formação para Construtores de Redes de Fibra","2021-11-26 17:27:08",NULL,"1463","Fibra Óptica de A a Z","2021-05-04 11:32:38",NULL,"{""vitrine_listagem"":""instancia_74\/image\/Flaa7u0r3i3n0ylIoWJxshfAIHAsz5IPzhdnpkKF.png"",""exibe_progresso"":""1"",""certificado_ic_ativo"":""0"",""certificado_verso_ativo"":""1"",""desativar_visto"":""0"",""ocultar_visto"":""1""}","15781","O Sinal da Rede FTTH","https://b-vz-05e06853-571.tv.pandavideo.com.br/0ae9a152-e5aa-4c9a-826e-b2a275850e2d/playlist.m3u8","2021-05-04 14:04:28",NULL,NULL
481,"DESCONTINUADO: TÉCNICO EM FUSÃO E CERTIFICAÇÃO - Formação para Construtores de Redes de Fibra","2021-11-26 17:27:08",NULL,"1465","Lançamento de Fibra Óptica e Adequação de Ferragens","2021-05-04 14:14:36",NULL,"{""vitrine_listagem"":""instancia_74\/image\/cfF4JVKCKaP9XBF47E9s2JtLor4T9ArcOUnpjWhS.png"",""desativar_visto"":""1"",""ocultar_visto"":""1"",""exibe_progresso"":""1""}","15782","O Cabista","https://b-vz-05e06853-571.tv.pandavideo.com.br/73a1e301-d542-4e21-bafe-87f252f28b9a/playlist.m3u8","2021-05-04 14:15:41",NULL,NULL
481,"DESCONTINUADO: TÉCNICO EM FUSÃO E CERTIFICAÇÃO - Formação para Construtores de Redes de Fibra","2021-11-26 17:27:08",NULL,"1465","Lançamento de Fibra Óptica e Adequação de Ferragens","2021-05-04 14:14:36",NULL,"{""vitrine_listagem"":""instancia_74\/image\/cfF4JVKCKaP9XBF47E9s2JtLor4T9ArcOUnpjWhS.png"",""desativar_visto"":""1"",""ocultar_visto"":""1"",""exibe_progresso"":""1""}","15783","Distribuição de tarefas e equipes","https://b-vz-05e06853-571.tv.pandavideo.com.br/0bf4a40e-140e-4966-a0df-c1af558db468/playlist.m3u8","2021-05-04 14:18:30",NULL,NULL
481,"DESCONTINUADO: TÉCNICO EM FUSÃO E CERTIFICAÇÃO - Formação para Construtores de Redes de Fibra","2021-11-26 17:27:08",NULL,"1465","Lançamento de Fibra Óptica e Adequação de Ferragens","2021-05-04 14:14:36",NULL,"{""vitrine_listagem"":""instancia_74\/image\/cfF4JVKCKaP9XBF47E9s2JtLor4T9ArcOUnpjWhS.png"",""desativar_visto"":""1"",""ocultar_visto"":""1"",""exibe_progresso"":""1""}","15784","Resumo da Infraestrutura","https://b-vz-05e06853-571.tv.pandavideo.com.br/a3cdda44-711f-42c6-881d-bba6c517a9bf/playlist.m3u8","2021-05-04 14:19:10",NULL,NULL
481,"DESCONTINUADO: TÉCNICO EM FUSÃO E CERTIFICAÇÃO - Formação para Construtores de Redes de Fibra","2021-11-26 17:27:08",NULL,"1465","Lançamento de Fibra Óptica e Adequação de Ferragens","2021-05-04 14:14:36",NULL,"{""vitrine_listagem"":""instancia_74\/image\/cfF4JVKCKaP9XBF47E9s2JtLor4T9ArcOUnpjWhS.png"",""desativar_visto"":""1"",""ocultar_visto"":""1"",""exibe_progresso"":""1""}","15786","Separação dos Materiais","https://b-vz-05e06853-571.tv.pandavideo.com.br/4ee50057-13e2-4f19-b118-b3411457d046/playlist.m3u8","2021-05-04 14:20:45",NULL,NULL
481,"DESCONTINUADO: TÉCNICO EM FUSÃO E CERTIFICAÇÃO - Formação para Construtores de Redes de Fibra","2021-11-26 17:27:08",NULL,"1465","Lançamento de Fibra Óptica e Adequação de Ferragens","2021-05-04 14:14:36",NULL,"{""vitrine_listagem"":""instancia_74\/image\/cfF4JVKCKaP9XBF47E9s2JtLor4T9ArcOUnpjWhS.png"",""desativar_visto"":""1"",""ocultar_visto"":""1"",""exibe_progresso"":""1""}","15788","Antes de Subir no Poste","https://b-vz-05e06853-571.tv.pandavideo.com.br/1e16c3be-cc64-4761-bc10-9747d02b4060/playlist.m3u8","2021-05-04 14:21:24",NULL,NULL
481,"DESCONTINUADO: TÉCNICO EM FUSÃO E CERTIFICAÇÃO - Formação para Construtores de Redes de Fibra","2021-11-26 17:27:08",NULL,"1465","Lançamento de Fibra Óptica e Adequação de Ferragens","2021-05-04 14:14:36",NULL,"{""vitrine_listagem"":""instancia_74\/image\/cfF4JVKCKaP9XBF47E9s2JtLor4T9ArcOUnpjWhS.png"",""desativar_visto"":""1"",""ocultar_visto"":""1"",""exibe_progresso"":""1""}","15789","Montagem das Ferragens","https://b-vz-05e06853-571.tv.pandavideo.com.br/0396b009-6a1a-428e-89e5-f95a208c7847/playlist.m3u8","2021-05-04 14:21:44",NULL,NULL
481,"DESCONTINUADO: TÉCNICO EM FUSÃO E CERTIFICAÇÃO - Formação para Construtores de Redes de Fibra","2021-11-26 17:27:08",NULL,"1465","Lançamento de Fibra Óptica e Adequação de Ferragens","2021-05-04 14:14:36",NULL,"{""vitrine_listagem"":""instancia_74\/image\/cfF4JVKCKaP9XBF47E9s2JtLor4T9ArcOUnpjWhS.png"",""desativar_visto"":""1"",""ocultar_visto"":""1"",""exibe_progresso"":""1""}","15790","Lançamento do Cabo: Do Início ao Fim","https://b-vz-05e06853-571.tv.pandavideo.com.br/3ff8c9a0-39b8-4dae-9289-0a3e82f7608b/playlist.m3u8","2021-05-04 14:23:32",NULL,NULL
481,"DESCONTINUADO: TÉCNICO EM FUSÃO E CERTIFICAÇÃO - Formação para Construtores de Redes de Fibra","2021-11-26 17:27:08",NULL,"1465","Lançamento de Fibra Óptica e Adequação de Ferragens","2021-05-04 14:14:36",NULL,"{""vitrine_listagem"":""instancia_74\/image\/cfF4JVKCKaP9XBF47E9s2JtLor4T9ArcOUnpjWhS.png"",""desativar_visto"":""1"",""ocultar_visto"":""1"",""exibe_progresso"":""1""}","15792","O Que Não Fazer","https://b-vz-05e06853-571.tv.pandavideo.com.br/3c64a895-a64f-46b3-9e8c-6f94832cc912/playlist.m3u8","2021-05-04 14:23:56",NULL,NULL
